,Unnamed: 0,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration
1783,26925.0,2018-04-11,Rockets,,Trevor Ariza,placed on IL with sore leg,Trevor Ariza,2017-18,sore leg,upper leg,4
1784,26924.0,2018-04-11,Rockets,,Luc Mbah a Moute,placed on IL with dislocated right shoulder,Luc Mbah a Moute,2017-18,dislocated right shoulder,upper body,18
1785,26913.0,2018-04-11,Heat,,Goran Dragic,placed on IL with sore right knee (out for season),Goran Dragic,2017-18,sore right knee ,knee,3
1786,26903.0,2018-04-11,Bucks,,Shabazz Muhammad,placed on IL with sprained right ankle,Shabazz Muhammad,2017-18,sprained right ankle,foot,4
1787,26916.0,2018-04-11,Nets,,Spencer Dinwiddie,placed on IL with sore right knee (out for season),Spencer Dinwiddie,2017-18,sore right knee ,knee,173
1788,26931.0,2018-04-11,Wizards,,Otto Porter Jr.,placed on IL with tightness in lower right leg,Otto Porter Jr.,2017-18,tightness in lower right leg,upper leg,3
1789,26936.0,2018-04-14,Raptors,,Fred VanVleet,placed on IL with right shoulder injury,Fred VanVleet,2017-18,right shoulder injury,upper body,3
1790,26970.0,2018-04-19,Blazers,,Evan Turner,placed on IL with toe injury,Evan Turner,2017-18,toe injury,foot,2
1791,26972.0,2018-04-20,Bucks,,John Henson,placed on IL with sore back (out for season),John Henson,2017-18,sore back ,back,164
1792,26976.0,2018-04-20,Raptors,,Fred VanVleet,placed on IL with right shoulder injury,Fred VanVleet,2017-18,right shoulder injury,upper body,7
1793,26978.0,2018-04-21,Blazers,,Maurice Harkless,placed on IL with sore left knee (out for season),Maurice Harkless,2017-18,sore left knee ,knee,163
